session-uid,start,duration,location,size
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461522839,38,3,159
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461522877,2,2,36
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461522882,108,2,73
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461522991,6,3,3
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461522998,10,3,6
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523008,2,10,29
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523011,2,5,5
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523014,2,5,17
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523016,43,4,2
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523109,2,10,9
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523111,2,15,10
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523113,3,6,45
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523118,4,7,26
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523123,17,8,111
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523190,45,3,3
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523237,2,6,127
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523240,2,2,103
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523243,9,2,57
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523254,2,3,1706
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523266,47,7,342
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523318,2,2,57
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523322,7,3,337
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523330,5,2,103
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523347,2,10,47
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523349,5,5,4
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523355,2,6,25
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523359,4,3,22
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523367,6,2,0
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523374,2,16,306348
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523376,3,12,288644
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523379,2,3,47403
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523383,2,18,478453
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523389,2,9,226087
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523393,2,9,228297
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523395,107,2,196
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523503,7,2,43
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523511,2,28,671867
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523517,2,10,248752
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523522,2,11,297933
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523527,2,9,225562
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523529,2,2,107
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523532,2,4,4
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523534,2,10,8
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523553,2,2,38
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523555,2,22,486379
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523562,2,23,603785
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523564,87,2,108
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523651,2,10,78522
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523662,2,27,619612
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523665,13,2,108
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523678,2,28,633226
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523680,4,2,108
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523685,6,3,1
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523691,2,27,632066
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523694,11,2,108
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523705,2,27,629158
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523711,2,7,151686
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523713,195,2,108
cafc1603-63fd-46e6-b580-d943dd35f0eb,1461523771,72,3,458
cafc1603-63fd-46e6-b580-d943dd35f0eb,1461523846,125,4,528
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523912,22,5,5
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523935,2,28,629158
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523941,2,7,154044
3e3e1c78-bc77-43ae-ab78-5a619e755ee0,1461523943,757,2,108
cafc1603-63fd-46e6-b580-d943dd35f0eb,1461523972,2,2,506
cafc1603-63fd-46e6-b580-d943dd35f0eb,1461523974,2,6,4962
cafc1603-63fd-46e6-b580-d943dd35f0eb,1461523977,501,8,6836
cafc1603-63fd-46e6-b580-d943dd35f0eb,1461524479,6,4,737
