time,event,duration
0,1,12968
0,4,140020
0,5,1332
0,6,9
0,8,79
0,10,1995
0,11,3512
0,14,133635
1,1,8954
1,4,170750
1,5,105
1,6,6
1,7,6
1,8,82
1,10,740
1,11,4130
1,14,25314
2,1,2589
2,4,1446954
2,5,10
2,6,8
2,10,85
2,11,1013
2,14,585
3,1,379
3,4,805
3,5,2
4,1,19
4,4,23768
6,1,392
6,4,1293
6,5,7
6,10,3
6,11,638
6,14,666
7,1,1385
7,4,38668
7,5,6
7,6,2
7,10,196
7,14,70
8,1,8542
8,4,24459
8,5,38
8,10,465
8,14,382
9,1,10845
9,4,756393
9,5,76
9,6,8
9,7,4
9,10,951
9,11,985
9,14,1516
10,1,16963
10,4,68421
10,5,1051
10,6,8
10,7,17
10,10,2016
10,11,4879
10,14,19827
11,1,22786
11,4,2006168
11,5,236
11,6,2
11,7,1
11,8,3
11,10,1548
11,11,4625
11,14,117901
12,1,21712
12,4,412988
12,5,467
12,6,9
12,7,13
12,8,6
12,10,2294
12,11,5521
12,14,211872
13,1,19810
13,4,116738
13,5,550
13,6,2
13,8,5
13,10,1892
13,11,6427
13,14,307144
14,1,13825
14,4,1721511
14,5,131
14,6,4
14,10,1132
14,11,6890
14,14,163449
15,1,15047
15,4,134153
15,5,154
15,6,13
15,7,2
15,8,91
15,10,1011
15,11,4639
15,14,110974
16,1,16534
16,4,2893271
16,5,324
16,6,2
16,8,44
16,10,1056
16,11,8660
16,14,84715
17,1,15140
17,4,104331
17,5,725
17,6,5
17,7,3
17,10,1365
17,11,10856
17,14,53843
18,1,9629
18,4,114623
18,5,198
18,6,9
18,7,4
18,8,43
18,10,774
18,11,1273
18,14,16243
19,1,7043
19,4,46182
19,5,35
19,10,866
19,11,801
19,14,34643
20,1,9463
20,4,131409
20,5,60
20,6,5
20,8,37
20,10,824
20,11,2050
20,14,17831
21,1,14084
21,4,209973
21,5,162
21,6,4
21,8,6
21,10,1347
21,11,8051
21,14,44099
22,1,17560
22,4,661291
22,5,242
22,6,3
22,8,59
22,10,1569
22,11,399439
22,14,431900
23,1,13502
23,4,394360
23,5,178
23,6,1
23,8,127
23,10,1330
23,11,42604
23,14,65575
