time,event,frequency
0,4,2685
0,1,1453
0,10,602
0,11,230
0,14,114
0,5,32
0,6,5
0,8,1
1,4,1378
1,1,958
1,10,235
1,11,232
1,14,140
1,5,30
1,8,8
1,7,6
1,6,3
2,4,351
2,1,324
2,10,34
2,14,31
2,11,13
2,5,4
2,6,4
3,1,50
3,4,44
3,5,1
4,1,5
4,4,2
6,1,54
6,4,27
6,11,9
6,14,5
6,5,4
6,10,1
7,4,311
7,1,176
7,10,79
7,14,8
7,5,1
7,6,1
8,4,1298
8,1,901
8,10,219
8,14,19
8,5,6
9,4,2090
9,1,1355
9,10,355
9,11,51
9,14,37
9,5,22
9,6,5
9,7,4
10,4,3312
10,1,1975
10,10,544
10,11,172
10,14,106
10,5,47
10,7,9
10,6,4
11,4,3829
11,1,2238
11,10,582
11,14,178
11,11,152
11,5,44
11,6,1
11,7,1
11,8,1
12,4,4694
12,1,2584
12,10,809
12,14,189
12,11,178
12,5,59
12,7,8
12,6,7
12,8,2
13,4,4092
13,1,2328
13,10,692
13,14,175
13,11,130
13,5,41
13,6,2
13,8,1
14,4,2232
14,1,1625
14,10,395
14,14,168
14,11,95
14,5,30
14,6,3
15,4,3676
15,1,1739
15,10,420
15,14,134
15,11,44
15,5,26
15,8,12
15,6,8
15,7,1
16,4,3356
16,1,1821
16,10,406
16,14,122
16,11,93
16,5,50
16,6,2
16,8,1
17,4,2470
17,1,1664
17,10,369
17,11,133
17,14,128
17,5,60
17,6,4
17,7,2
18,4,1548
18,1,976
18,10,267
18,14,61
18,5,41
18,11,34
18,6,6
18,7,4
18,8,1
19,4,1350
19,1,811
19,10,195
19,14,67
19,11,34
19,5,10
20,4,1850
20,1,1062
20,10,284
20,11,114
20,14,66
20,5,17
20,6,3
20,8,3
21,4,2911
21,1,1687
21,10,472
21,11,195
21,14,119
21,5,46
21,6,2
21,8,1
22,4,3587
22,1,2156
22,10,569
22,11,265
22,14,155
22,5,53
22,8,8
22,6,2
23,4,2874
23,1,1632
23,10,488
23,11,164
23,14,161
23,5,29
23,8,18
23,6,1
