Data Field,Survey Question,Notes
RespondentID,,Respondent ID
StartDate,,When did they start (date and time)
EndDate,,When did they end (date and time)
CountryNumeric2,,see Country-Code-Mapping.csv
q1AgeBeginCoding,At what age did you start coding,
q2Age,How old are you now?,
q3Gender,What gender do you identify with?,
q4Education,What is the highest level of education you have (or plan to obtain)?,"Shown if person chooses ""Some College"" or above"
q0004_other,Other (please specify),"Shown if person chooses ""Some College"" or above"
q5DegreeFocus,What is the focus area of your degree?,
q0005_other,Other (please specify),
q6LearnCodeUni,How did you learn how to code?,
q6LearnCodeSelfTaught,How did you learn how to code?,
q6LearnCodeAccelTrain,How did you learn how to code?,
q6LearnCodeDontKnowHowToYet,How did you learn how to code?,
q6LearnCodeOther,How did you learn how to code?,
q0006_other,Other (please specify),
q7Level1,"Success! You completed Level 1 of 4.  To unlock Level 2, solve this quick challenge:What language does the following code snippet belong toint ptr = 1;",right answer: 1 or C
q8JobLevel,Which of the following best matches your employment level?,
q0008_other,Other (please specify),
q8Student,Student vs. Non-student,
q9CurrentRole,Which one of these best describes your current role?,
q0009_other,Other (please specify),
q10Industry,Which best describes the industry you work in?,shown if q8JobLevel is 4 or above (Level 1 or above)
q0010_other,Other (please specify),shown if q8JobLevel is 4 or above (Level 1 or above)
q12JobCritPrefTechStack,What are the top 3 most important things you look for in a company when looking for job opportunities?(Choose 3),
q12JobCritCompMission,What are the top 3 most important things you look for in a company when looking for job opportunities?(Choose 3),
q12JobCritCompCulture,What are the top 3 most important things you look for in a company when looking for job opportunities?(Choose 3),
q12JobCritWorkLifeBal,What are the top 3 most important things you look for in a company when looking for job opportunities?(Choose 3),
q12JobCritCompensation,What are the top 3 most important things you look for in a company when looking for job opportunities?(Choose 3),
q12JobCritProximity,What are the top 3 most important things you look for in a company when looking for job opportunities?(Choose 3),
q12JobCritPerks,What are the top 3 most important things you look for in a company when looking for job opportunities?(Choose 3),
q12JobCritSmartPeopleTeam,What are the top 3 most important things you look for in a company when looking for job opportunities?(Choose 3),
