hour,event,duration,frequency
0,0,0,1727
0,1,15826,2497
0,2,0,2
0,3,0,48
0,4,269383,3444
0,5,157,4622
0,6,3,2074
0,7,0,3193
0,8,60,9
0,10,1382,2349
0,11,6123,395
0,13,0,13
0,14,134317,166
0,15,0,1
1,0,0,810
1,1,12338,1892
1,2,0,3
1,3,0,7
1,4,395932,2862
1,5,169,3735
1,6,3,1329
1,7,0,2266
1,8,114,20
1,10,1141,2105
1,11,42816,513
1,13,0,19
1,14,65068,158
2,0,0,1326
2,1,11412,1650
2,2,0,5
2,3,0,48
2,4,141088,2586
2,5,1316,3011
2,6,6,1292
2,7,0,2425
2,8,79,1
2,10,1628,1613
2,11,2779,596
2,13,0,10
2,14,2915,92
3,0,0,1466
3,1,8480,1247
3,2,0,6
3,3,0,35
3,4,173728,1406
3,5,85,2114
3,6,5,762
3,7,6,1641
3,8,79,9
3,10,652,729
3,11,4016,604
3,13,0,5
3,14,3498,137
4,0,0,713
4,1,2761,546
4,2,0,7
4,3,0,27
4,4,1449428,384
4,5,203,749
4,6,9,399
4,7,1,826
4,10,97,134
4,11,1006,23
4,13,0,22
4,14,570,31
5,0,0,943
5,1,757,220
5,2,0,4
5,3,0,152
5,4,3458,70
5,5,141,320
5,6,1,37
5,7,1,200
5,10,45,5
5,11,382,3
5,13,0,11
6,0,0,771
6,1,1026,232
6,2,0,2
6,3,0,5
6,4,29346,39
6,5,54,348
6,6,0,80
6,7,1,230
6,8,59,4
6,11,19,2
6,13,0,12
6,14,290,1
7,0,0,612
7,1,367,46
7,2,0,2
7,3,0,12
7,4,2469,21
7,5,6,226
7,6,0,27
7,7,0,157
7,8,4,2
7,11,59,22
7,13,0,3
8,0,0,527
8,1,1038,181
8,2,0,8
8,3,0,92
8,4,63073,76
8,5,191,409
8,6,2,62
8,7,0,298
8,10,2,2
8,11,635,13
8,13,0,9
8,14,664,5
9,0,0,779
9,1,2382,386
9,2,0,7
9,3,0,562
9,4,206621,412
9,5,83,1961
9,6,0,134
9,7,0,467
9,8,77,5
9,10,166,227
9,13,0,7
9,14,244,10
10,0,0,3030
10,1,9005,1141
10,2,0,3
10,3,0,225
10,4,28941,1521
10,5,88,2061
10,6,3,962
10,7,0,1806
10,8,69,5
10,10,509,766
10,11,15791,1
10,13,0,20
10,14,16233,26
10,15,0,3
11,0,0,1309
11,1,12541,1899
11,2,0,12
11,3,0,603
11,4,768982,2511
11,5,203,5170
11,6,7,1538
11,7,8,3167
11,8,36,1
11,10,1155,1478
11,11,2266,166
11,13,0,19
11,14,131655,59
11,15,0,1
12,0,0,2212
12,1,15907,2262
12,2,0,4
12,3,0,290
12,4,1925919,3187
12,5,1177,4740
12,6,4,1772
12,7,4,2966
12,10,1459,2268
12,11,3282,479
12,13,0,22
12,14,211645,148
13,0,0,5179
13,1,24561,2987
13,2,0,8
13,3,0,362
13,4,188373,4572
13,5,573,7143
13,6,3,2360
13,7,4,3824
13,8,35,2
13,10,1563,3387
13,11,145471,407
13,13,0,29
13,14,308854,220
14,0,0,4193
14,1,21994,3131
14,2,0,16
14,3,0,569
14,4,424491,4664
14,5,952,7439
14,6,7,2392
14,7,5,4021
14,8,113,6
14,10,1916,3523
14,11,4674,384
14,13,0,20
14,14,160810,180
15,0,0,2400
15,1,17065,2608
15,2,0,10
15,3,0,221
15,4,120180,3735
15,5,827,4578
15,6,2,1827
15,7,0,3040
15,8,30,4
15,10,1426,2623
15,11,6094,313
15,13,0,20
15,14,112782,148
16,0,0,1735
16,1,15227,2072
16,2,0,8
16,3,0,377
16,4,1735018,3372
16,5,357,4932
16,6,4,1552
16,7,2,2944
16,8,36,4
16,10,1037,1544
16,11,10804,237
16,13,0,23
16,14,90108,150
16,15,0,3
17,0,0,8049
17,1,14994,2199
17,2,0,17
17,3,0,261
17,4,152867,3577
17,5,404,4244
17,6,7,1569
17,7,0,2806
17,8,105,25
17,10,848,1713
17,11,5807,256
17,13,0,20
17,14,44083,114
17,15,0,2
18,0,0,2397
18,1,16293,2245
18,2,0,7
18,3,0,78
18,4,3032793,2905
18,5,712,3722
18,6,2,1829
18,7,0,3222
18,8,64,2
18,10,819,1981
18,11,7145,38
18,13,0,22
18,14,17117,105
18,15,0,3
19,0,0,2117
19,1,15248,2015
19,2,0,4
19,3,0,71
19,4,191356,2522
19,5,966,3653
19,6,4,1699
19,7,2,3204
19,8,11,2
19,10,1319,1601
19,11,11160,299
19,13,0,11
19,14,45563,131
20,0,0,990
20,1,9630,1184
20,2,0,8
20,3,0,67
20,4,142559,1677
20,5,227,2646
20,6,7,1015
20,7,4,2079
20,8,70,12
20,10,875,1109
20,11,1403,172
20,13,0,15
20,14,27421,67
21,0,0,1113
21,1,7674,1173
21,3,0,8
21,4,80392,1443
21,5,58,2127
21,6,1,683
21,7,0,1360
21,8,45,5
21,10,939,995
21,11,27508,146
21,13,0,13
21,14,70334,74
22,0,0,451
22,1,9310,1337
22,2,0,3
22,3,0,44
22,4,135780,1889
22,5,651,2430
22,6,2,985
22,7,0,1370
22,10,742,1155
22,11,5250,240
22,13,0,9
22,14,39503,72
22,15,0,1
23,0,0,1134
23,1,14486,2250
23,2,0,4
23,3,0,28
23,4,601953,3211
23,5,137,4162
23,6,2,1439
23,7,0,2699
23,8,6,1
23,10,1238,1793
23,11,397777,787
23,13,0,13
23,14,417175,118
