date,no_of_occurrence,size,normalized_occurrence
2016-04-04,120,354117,0.45075757575757575
2016-04-05,205,1034347,0.7727272727272727
2016-04-08,133,926432,0.5
2016-04-09,244,863051,0.9204545454545454
2016-04-11,82,190101,0.3068181818181818
2016-04-17,186,69692,0.7007575757575758
2016-04-21,31,5939,0.11363636363636363
2016-04-23,83,444268,0.3106060606060606
2016-04-24,36,352585,0.13257575757575757
2016-04-26,2,12969,0.003787878787878788
2016-04-28,87,376762,0.32575757575757575
2016-04-29,2,56,0.003787878787878788
2016-04-30,243,1769473,0.9166666666666666
2016-05-05,16,19692,0.056818181818181816
2016-05-08,4,5028,0.011363636363636364
2016-05-10,33,396611,0.12121212121212122
2016-05-12,45,411287,0.16666666666666666
2016-05-19,1,8642,0.0
2016-05-28,20,118276,0.07196969696969698
2016-06-03,68,379994,0.2537878787878788
2016-06-04,16,65344,0.056818181818181816
2016-06-05,151,587143,0.5681818181818182
2016-06-06,2,24884,0.003787878787878788
2016-06-09,54,376328,0.20075757575757575
2016-06-10,2,24611,0.003787878787878788
2016-06-17,1,52,0.0
2016-06-22,2,18725,0.003787878787878788
2016-06-23,42,23127,0.1553030303030303
2016-06-28,44,84319,0.16287878787878787
2016-07-04,11,44429,0.03787878787878788
2016-07-06,3,31157,0.007575757575757576
2016-07-07,62,141186,0.23106060606060605
2016-07-08,233,602060,0.8787878787878788
2016-07-10,24,694,0.08712121212121213
2016-07-12,62,133300,0.23106060606060605
2016-07-13,2,70,0.003787878787878788
2016-07-17,265,1085474,1.0
2016-07-18,123,406415,0.4621212121212121
2016-07-19,24,62399,0.08712121212121213
2016-07-20,8,65206,0.026515151515151516
2016-07-21,67,153639,0.25
2016-07-24,68,239631,0.2537878787878788
2016-07-25,53,274622,0.19696969696969696
2016-07-27,49,232110,0.18181818181818182
